Initials	Item Name	Rarity	Min Ups	Max Ups	Min Base	Max Base	Class	Health	Max Potential	Min Potential	Lowest Health	Highest Health	Unrounded Min Upgrades	Unrounded Max Upgrades	Average Ups	Average Base	Unrounded Min Base	Unrounded Max Base
DT	Bronze Dagger		1	3	5	7	War		10	6	0	0	1.9	2.1	2	6	5.7	6.3
DT	Bronze Dagger		2	4	6	8	War		12	8	0	0	2.85	3.15	3	7	6.65	7.35
DT	Bronze Dagger		3	5	7	9	War		14	10	0	0	3.8	4.2	4	8	7.6	8.4
DT	Bronze Dagger		4	6	8	10	War		16	12	0	0	4.75	5.25	5	9	8.55	9.45
DT	Novice Wand		2	4	11	13	Mage		17	13	0	0	2.85	3.15	3	12	11.4	12.6
DT	Novice Wand		3	5	12	14	Mage		19	15	0	0	3.8	4.2	4	13	12.35	13.65
DT	Novice Wand		4	6	13	15	Mage		21	17	0	0	4.75	5.25	5	14	13.3	14.7
DT	Novice Wand		5	7	14	16	Mage		23	19	0	0	5.7	6.3	6	15	14.25	15.75
DT	Bronze Longsword		2	4	9	11	War		15	11	0	0	2.85	3.15	3	10	9.5	10.5
DT	Bronze Longsword		3	5	10	12	War		17	13	0	0	3.8	4.2	4	11	10.45	11.55
DT	Bronze Longsword		4	6	11	13	War		19	15	0	0	4.75	5.25	5	12	11.4	12.6
DT	Bronze Longsword		5	7	12	14	War		21	17	0	0	5.7	6.3	6	13	12.35	13.65
DT	Iron Longsword		3	5	15	17	War		22	18	0	0	3.8	4.2	4	16	15.2	16.8
DT	Iron Longsword		4	6	18	20	War		26	22	0	0	4.75	5.25	5	19	18.05	19.95
DT	Iron Longsword		5	7	20	24	War		31	25	0	0	5.7	6.3	6	22	20.9	23.1
DT	Iron Longsword		6	8	23	27	War		35	29	0	0	6.65	7.35	7	25	23.75	26.25
DT	Spiked Club		2	4	12	14	War		18	14	0	0	2.85	3.15	3	13	12.35	13.65
DT	Spiked Club		3	5	13	15	War		20	16	0	0	3.8	4.2	4	14	13.3	14.7
DT	Spiked Club		4	6	15	17	War		23	19	0	0	4.75	5.25	5	16	15.2	16.8
DT	Spiked Club		5	7	18	20	War		27	23	0	0	5.7	6.3	6	19	18.05	19.95
DT	Steel Serrated Sword		4	6	19	23	War		29	23	0	0	4.75	5.25	5	21	19.95	22.05
DT	Steel Serrated Sword		5	7	22	26	War		33	27	0	0	5.7	6.3	6	24	22.8	25.2
DT	Steel Serrated Sword		6	8	27	31	War		39	33	0	0	6.65	7.35	7	29	27.55	30.45
DT	Steel Serrated Sword		7	9	32	36	War		50	39	0	0	7.6	8.4	8	34	32.3	35.7
DT	Magic Mallet		4	6	20	24	Mage		30	24	0	0	4.75	5.25	5	22	20.9	23.1
DT	Magic Mallet		5	7	22	26	Mage		33	27	0	0	5.7	6.3	6	24	22.8	25.2
DT	Magic Mallet		6	8	26	30	Mage		38	32	0	0	6.65	7.35	7	28	26.6	29.4
DT	Magic Mallet		7	9	30	34	Mage		46	37	0	0	7.6	8.4	8	32	30.4	33.6
DT	Apprentice Staff		3	5	14	16	Mage		21	17	0	0	3.8	4.2	4	15	14.25	15.75
DT	Apprentice Staff		4	6	15	17	Mage		23	19	0	0	4.75	5.25	5	16	15.2	16.8
DT	Apprentice Staff		5	7	17	19	Mage		26	22	0	0	5.7	6.3	6	18	17.1	18.9
DT	Apprentice Staff		6	8	19	21	Mage		29	25	0	0	6.65	7.35	7	20	19	21
DT	Flame Staff		5	7	32	36	Mage		46	37	0	0	5.7	6.3	6	34	32.3	35.7
DT	Flame Staff		6	8	36	40	Mage		56	44	0	0	6.65	7.35	7	38	36.1	39.9
DT	Flame Staff		7	9	41	47	Mage		67	55	0	0	7.6	8.4	8	44	41.8	46.2
DT	Flame Staff		8	10	48	54	Mage		81	66	0	0	8.55	9.45	9	51	48.45	53.55
DT	Granite Maul		4	6	26	30	War		36	30	0	0	4.75	5.25	5	28	26.6	29.4
DT	Granite Maul		5	7	31	35	War		44	36	0	0	5.7	6.3	6	33	31.35	34.65
DT	Granite Maul		6	8	36	40	War		56	44	0	0	6.65	7.35	7	38	36.1	39.9
DT	Granite Maul		7	9	41	47	War		67	55	0	0	7.6	8.4	8	44	41.8	46.2
DT	Rouge's Rapier		5	7	35	39	War		52	40	0	0	5.7	6.3	6	37	35.15	38.85
DT	Rouge's Rapier		6	8	38	44	War		60	48	0	0	6.65	7.35	7	41	38.95	43.05
DT	Rouge's Rapier		7	9	43	49	War		70	57	0	0	7.6	8.4	8	46	43.7	48.3
DT	Rouge's Rapier		8	10	48	54	War		81	66	0	0	8.55	9.45	9	51	48.45	53.55
DT	Mage Spellbook		6	8	49	55	Mage		76	61	0	0	6.65	7.35	7	52	49.4	54.6
DT	Mage Spellbook		7	9	56	62	Mage		92	75	0	0	7.6	8.4	8	59	56.05	61.95
DT	Mage Spellbook		8	10	64	72	Mage		111	90	0	0	8.55	9.45	9	68	64.6	71.4
